fecha,partido,apuesta,cuota,p_modelo,edge,importe,gano,banca
2022-11-26,Tunisia - Australia,LOCAL,2.16,0.5453,0.1779,1.27,False,31.96
2022-11-27,Japan - Costa Rica,VISITANTE,7.36,0.1428,0.0508,0.06,True,32.36
2022-11-27,Belgium - Morocco,LOCAL,1.88,0.56,0.0527,0.48,False,31.88
2022-11-27,Croatia - Canada,LOCAL,2.2,0.5531,0.2168,1.44,True,33.61
2022-11-27,Spain - Germany,LOCAL,2.5,0.5077,0.2691,1.51,False,32.1
2022-11-28,Portugal - Uruguay,VISITANTE,4.34,0.2516,0.0919,0.22,False,31.88
2022-11-28,South Korea - Ghana,LOCAL,2.7,0.5002,0.3506,1.59,False,30.28
2022-11-28,Brazil - Switzerland,VISITANTE,7.4,0.1539,0.139,0.16,False,30.12
2022-11-29,Qatar - Netherlands,LOCAL,14.61,0.2036,1.9744,1.09,False,29.03
2022-11-29,Qatar - Netherlands,EMPATE,6.81,0.244,0.6615,0.83,False,28.2
2022-11-29,Iran - United States,LOCAL,4.03,0.385,0.5517,1.28,False,26.92
2022-11-29,Iran - United States,EMPATE,3.45,0.3054,0.0537,0.15,False,26.77
2022-11-29,Ecuador - Senegal,VISITANTE,3.18,0.3481,0.1069,0.33,True,27.49
2022-11-30,Saudi Arabia - Mexico,LOCAL,5.4,0.1978,0.0682,0.11,False,27.38
2022-11-30,Saudi Arabia - Mexico,EMPATE,4.13,0.275,0.1357,0.3,False,27.08
2022-11-30,Australia - Denmark,LOCAL,7.65,0.4231,2.2364,1.35,True,36.09
2022-11-30,Australia - Denmark,EMPATE,4.66,0.2966,0.3822,0.94,False,35.14
2022-11-30,Tunisia - France,LOCAL,5.84,0.2284,0.3339,0.61,True,38.08
2022-11-30,Tunisia - France,EMPATE,3.81,0.2773,0.0565,0.19,False,37.89
2022-12-01,Croatia - Belgium,LOCAL,2.97,0.4612,0.3698,1.78,False,36.11
2022-12-01,Canada - Morocco,VISITANTE,1.82,0.6416,0.1678,1.81,True,37.59
2022-12-01,Japan - Spain,LOCAL,6.98,0.2158,0.506,0.8,True,42.34
2022-12-01,Japan - Spain,EMPATE,4.35,0.2766,0.2034,0.64,False,41.7
2022-12-01,Costa Rica - Germany,LOCAL,24.4,0.2436,4.9442,2.09,False,39.62
2022-12-01,Costa Rica - Germany,EMPATE,10.6,0.2849,2.0196,1.98,False,37.64
2022-12-02,Cameroon - Brazil,VISITANTE,1.33,0.8377,0.1141,1.88,False,35.75
2022-12-02,South Korea - Portugal,LOCAL,4.25,0.2717,0.1546,0.43,True,37.14
2022-12-02,South Korea - Portugal,EMPATE,3.73,0.2938,0.0958,0.33,False,36.81
2022-12-03,Argentina - Australia,EMPATE,5.92,0.2283,0.3516,0.66,False,36.15
2022-12-03,Argentina - Australia,VISITANTE,10.23,0.1472,0.5057,0.5,False,35.66
2022-12-03,Netherlands - United States,LOCAL,1.9,0.5825,0.1068,1.06,True,36.61
2022-12-04,France - Poland,EMPATE,4.79,0.2632,0.2607,0.63,False,35.98
2022-12-04,France - Poland,VISITANTE,8.41,0.1639,0.3781,0.46,False,35.52
2022-12-04,England - Senegal,EMPATE,3.64,0.2918,0.0623,0.21,False,35.31
2022-12-04,England - Senegal,VISITANTE,6.53,0.2434,0.5893,0.94,False,34.37
2022-12-05,Brazil - South Korea,EMPATE,6.39,0.1957,0.2503,0.4,False,33.97
2022-12-05,Brazil - South Korea,VISITANTE,14.22,0.0967,0.3745,0.24,False,33.73
2022-12-05,Japan - Croatia,LOCAL,3.81,0.2846,0.0843,0.25,False,33.48
2022-12-06,Morocco - Spain,LOCAL,6.04,0.2648,0.5996,1.0,False,32.48
2022-12-06,Morocco - Spain,EMPATE,3.72,0.3016,0.1221,0.36,True,33.47
2022-12-09,Croatia - Brazil,LOCAL,8.53,0.1659,0.415,0.46,False,33.01
2022-12-09,Croatia - Brazil,EMPATE,4.57,0.2471,0.1293,0.3,True,34.08
2022-12-09,Netherlands - Argentina,LOCAL,3.57,0.3317,0.184,0.61,False,33.47
2022-12-10,Morocco - Portugal,LOCAL,6.17,0.2636,0.6263,1.01,True,38.71
2022-12-10,Morocco - Portugal,EMPATE,3.79,0.3027,0.1474,0.51,False,38.2
2022-12-14,France - Morocco,VISITANTE,6.25,0.2106,0.3164,0.58,False,37.62
2022-12-17,Croatia - Morocco,VISITANTE,3.09,0.3602,0.1131,0.51,False,37.12
