torneo,anio,n,rmse_baseline,logloss_baseline,acc_baseline,exacto_baseline,top3_baseline,n_baseline,rmse_adoptado,logloss_adoptado,acc_adoptado,exacto_adoptado,top3_adoptado,n_adoptado
FIFA World Cup,2026,89,1.2082548483514979,0.8910679775075007,0.6179775280898876,0.11235955056179775,0.34831460674157305,89,1.2234088201372064,0.8967181752695265,0.6179775280898876,0.11235955056179775,0.33707865168539325,89
Gold Cup,1993,16,1.946513870342623,0.8513120219461935,0.5625,0.3125,0.375,16,1.9297690858776002,0.8315240580876975,0.5625,0.25,0.375,16
Gold Cup,1996,13,1.2427893405805193,0.7365469883939303,0.8461538461538461,0.07692307692307693,0.3076923076923077,13,1.2687989288324624,0.7656731350557392,0.8461538461538461,0.07692307692307693,0.3076923076923077,13
Gold Cup,1998,16,1.5380628238392788,1.0115968273004932,0.5,0.125,0.25,16,1.5543338295084572,1.049237910921139,0.5,0.125,0.3125,16
Gold Cup,2000,19,1.2331543922834205,1.145133057006726,0.42105263157894735,0.10526315789473684,0.3684210526315789,19,1.2494875055714922,1.132866286237541,0.47368421052631576,0.05263157894736842,0.3684210526315789,19
Gold Cup,2002,20,1.1031193062529914,1.0487674016741708,0.5,0.1,0.2,20,1.067060443162231,1.0382437961455093,0.45,0.1,0.25,20
Gold Cup,2003,20,1.2179538897642455,0.8731048717650172,0.6,0.1,0.25,20,1.2018436737056526,0.8543881116214862,0.6,0.1,0.25,20
Gold Cup,2005,25,1.174015873740319,1.0777519040085204,0.44,0.08,0.2,25,1.1622245349878155,1.0805359998235726,0.48,0.12,0.28,25
Gold Cup,2007,25,0.9748684907030829,0.8810529159478517,0.64,0.16,0.4,25,0.9776838461844112,0.8892906391750298,0.56,0.16,0.36,25
Gold Cup,2009,25,1.1797409128017937,0.8246102829206958,0.68,0.16,0.52,25,1.1766109869614023,0.8275021612603175,0.64,0.16,0.48,25
Gold Cup,2011,25,1.4653588111048643,0.7835667745613002,0.68,0.28,0.4,25,1.4657586421142623,0.7688447944662441,0.68,0.28,0.4,25
Gold Cup,2013,25,1.3358847448700168,0.8110998036673079,0.68,0.04,0.32,25,1.3395241853151147,0.8070820421535232,0.68,0.04,0.32,25
